State,code,date,claims
Nebraska,NE,3/14/20,795
Nevada,NV,3/14/20,6356
New Hampshire,NH,3/14/20,642
New Jersey,NJ,3/14/20,9467
New Mexico,NM,3/14/20,869
New York,NY,3/14/20,14272
North Carolina,NC,3/14/20,3533
North Dakota,ND,3/14/20,415
Ohio,OH,3/14/20,7046
Oklahoma,OK,3/14/20,1836
Oregon,OR,3/14/20,4269
Pennsylvania,PA,3/14/20,15439
Rhode Island,RI,3/14/20,1108
South Carolina,SC,3/14/20,2093
South Dakota,SD,3/14/20,190
Tennessee,TN,3/14/20,2702
Texas,TX,3/14/20,16176
Utah,UT,3/14/20,1305
Vermont,VT,3/14/20,659
Virginia,VA,3/14/20,2706
Washington,WA,3/14/20,14240
West Virginia,WV,3/14/20,865
Wisconsin,WI,3/14/20,5190
Wyoming,WY,3/14/20,517
Alabama,AL,3/21/20,10892
Alaska,AK,3/21/20,7847
Arizona,AZ,3/21/20,29348
Arkansas,AR,3/21/20,9275
California,CA,3/21/20,186333
Colorado,CO,3/21/20,19774
Connecticut,CT,3/21/20,25100
Delaware,DE,3/21/20,10776
District of Columbia,DC,3/21/20,14462
Florida,FL,3/21/20,74313
Georgia,GA,3/21/20,12140
Hawaii,HI,3/21/20,8817
Idaho,ID,3/21/20,13586
Illinois,IL,3/21/20,114114
Indiana,IN,3/21/20,59755
Iowa,IA,3/21/20,40952
Kansas,KS,3/21/20,23563
Kentucky,KY,3/21/20,49023
Louisiana,LA,3/21/20,72438
Maine,ME,3/21/20,21459
Maryland,MD,3/21/20,42981
Massachusetts,MA,3/21/20,148452
Michigan,MI,3/21/20,128006
Minnesota,MN,3/21/20,115773
Mississippi,MS,3/21/20,5519
Missouri,MO,3/21/20,42246
Montana,MT,3/21/20,15349
Nebraska,NE,3/21/20,15700
Nevada,NV,3/21/20,92298
New Hampshire,NH,3/21/20,29379
New Jersey,NJ,3/21/20,115815
New Mexico,NM,3/21/20,18105
New York,NY,3/21/20,79999
North Carolina,NC,3/21/20,94083
North Dakota,ND,3/21/20,5662
Ohio,OH,3/21/20,196309
Oklahoma,OK,3/21/20,21926
Oregon,OR,3/21/20,30054
Pennsylvania,PA,3/21/20,377451
Rhode Island,RI,3/21/20,35847
South Carolina,SC,3/21/20,31826
South Dakota,SD,3/21/20,1761
Tennessee,TN,3/21/20,38077
Texas,TX,3/21/20,155426
Utah,UT,3/21/20,19690
Vermont,VT,3/21/20,3784
Virginia,VA,3/21/20,46277
Washington,WA,3/21/20,129909
West Virginia,WV,3/21/20,3536
Wisconsin,WI,3/21/20,51031
Wyoming,WY,3/21/20,3653
Alabama,AL,3/28/20,80984
Alaska,AK,3/28/20,13774
Arizona,AZ,3/28/20,88940
Arkansas,AR,3/28/20,27756
California,CA,3/28/20,1058325
Colorado,CO,3/28/20,61838
Connecticut,CT,3/28/20,33227
Delaware,DE,3/28/20,19137
District of Columbia,DC,3/28/20,15869
Florida,FL,3/28/20,228484
Georgia,GA,3/28/20,133820
Hawaii,HI,3/28/20,48596
Idaho,ID,3/28/20,32941
Illinois,IL,3/28/20,178421
Indiana,IN,3/28/20,139174
Iowa,IA,3/28/20,55966
Kansas,KS,3/28/20,54330
Kentucky,KY,3/28/20,113149
Louisiana,LA,3/28/20,97400
Maine,ME,3/28/20,23770
Maryland,MD,3/28/20,85317
Massachusetts,MA,3/28/20,181423
Michigan,MI,3/28/20,304335
Minnesota,MN,3/28/20,109095
Mississippi,MS,3/28/20,32015
Missouri,MO,3/28/20,104291
Montana,MT,3/28/20,20763
Nebraska,NE,3/28/20,24725
Nevada,NV,3/28/20,71942
New Hampshire,NH,3/28/20,31378
New Jersey,NJ,3/28/20,206253
New Mexico,NM,3/28/20,27849
New York,NY,3/28/20,366595
North Carolina,NC,3/28/20,172145
North Dakota,ND,3/28/20,11818
Ohio,OH,3/28/20,274288
Oklahoma,OK,3/28/20,47744
Oregon,OR,3/28/20,47498
Pennsylvania,PA,3/28/20,404677
Rhode Island,RI,3/28/20,27800
South Carolina,SC,3/28/20,66475
South Dakota,SD,3/28/20,6801
Tennessee,TN,3/28/20,92500
Texas,TX,3/28/20,276185
Utah,UT,3/28/20,28532
Vermont,VT,3/28/20,14633
Virginia,VA,3/28/20,112497
Washington,WA,3/28/20,182849
West Virginia,WV,3/28/20,14523
Wisconsin,WI,3/28/20,110934
Wyoming,WY,3/28/20,6396
Alabama,AL,4/4/20,106739
Alaska,AK,4/4/20,14590
Arizona,AZ,4/4/20,132428
Arkansas,AR,4/4/20,62086
California,CA,4/4/20,918814
Colorado,CO,4/4/20,46326
Connecticut,CT,4/4/20,33464
